A	a
verstörend	upsettingly
entzweien	disunite
Graben	trench
Grabenwerfer	ditcher
Grabenwasser	ditchwater
dito	ditto
du sagst	ditz
schwindlig	giddy
harntreibend	diuretic
Diva	diva
Taucher	divers
divergieren	diverge
Abweichungen	divergence
divergent	divergently
divergierend	diverging
vielfältig	multifaceted
Vielfalt	variety
diversifizierbar	diversifiable
Diversifizierung	diversification
abwechslungsreich	varied
zu diversifizieren	diversifier
diversifizieren	diversify
Diversität	diversity
umleiten	reroute
teilbar	shareable
teilen	dividing
geteilt	dividedly
Geteiltheit	dividedness
Dividende	dividend
Teiler	divider
Trennwände	dividers
wahrnehmbar	perceptively
Divination	divination
göttlich	godly
Göttlichkeit	divineness
Tauchen	scuba
Wahrsagen	fortunetelling
Gottheit	divinity
Teilbarkeit	divisibility
Aufteilung	division
bereichsweise	divisionally
Divisionär	divisionary
spaltend	divisively
Divisor	divisor
Scheidung	divorcer
Geschiedene	divorcee
preisgeben	divulger
Preisgabe	divulgence
Schwindel	vertigo
schwindelerregend	dizzying
Tun	yin
machbar	feasibly
Dok	doc
fügsam	docile
Fügsamkeit	docility
Dock	dock
Akte	docket
Hafenarbeiter	longshoreman
Docking	docking
Hafen	port
Werft	shipyard
Arzt	doctor
Doktor	doctoral
Promotion	doctorate
Doktortitel	doctorial
doktrinär	doctrinal
Lehre	doctrine
dokumentieren	document
Dokumentarfilmer	documentarian
Dokumentarfilm	documentary
Dokumentation	documentation
ausweichen	evade
zwielichtig	shifty
Damhirschkuh	doe
Macher	doer
Hund	dog
Hundefänger	dogcatcher
Hundegesicht	dogface
Luftkampf	dogfight
Hundefutter	dogfood
verbissen	dogged
hartnäckig	tenaciously
Verbissenheit	doggedness
hündisch	doglike
Hündchen	pooch
Hundehütte	doghouse
Dogma	dogma
dogmatisch	dogmatic
Dogmatismus	dogmatism
dogmatist	dogmatist
Hunde	dogs
Hundeschlitten	dogsled
Hartriegel	dogwood
Tortenspitze	doily
tun	doing
Taten	doings
Dojo	dojo
muss	must
traurig	woeful
Puppe	doll
Dollar	dollar
Dollarfisch	dollarfish
Puppenhaus	dollhouse
Klacks	dollop
Dolly	dolly
Delfin	dolphin
versteckt	hidden
Domain	domain
Kuppel	dome
kuppelartig	domelike
inländisch	domestic
im Inland	domestically
domestizieren	domesticate
häuslich	domesticated
Domestizierung	domestication
Domestizierer	domesticator
Dominanz	dominancy
Dominant	dominant
dominant	dominative
dominiert	dominated
Herrschaft	dominion
Dominator	dominator
Domina	dominatrix
dominieren	domineer
herrschsüchtig	domineering
Domino	domino
Dominosteine	dominoes
spenden	donate
gespendet	donated
Erledigt	done
Esel	jackass
Krapfen	doughnut
Gekritzel	scribbling
Doodlebug	doodlebug
Kritzler	doodler
Doohickey	doohickey
Untergang	sinking
verhängnisvoll	doomful
Untergangsjäger	doomsayer
Weltuntergang	doomsday
Tür	door
Türklingel	doorbell
Türrahmen	doorframe
per Griff	doorhandle
byjamb	doorjamb
Türhüter	doorkeeper
Türknauf	doorknob
Türklopfer	doorknocker
Fußabtreter	doormat
Türnagel	doornail
Türplatte	doorplate
Durchgangspost	doorpost
Türschwelle	doorsill
Haustür	doorstep
Türstopper	doorstop
doozy	doozy
Dopamin	dopamine
Aufputschmittel	dope
Doppelgänger	lookalike
Idiot	loon
Wohnheim	dorm
ruhend	dormant
Schlafsaal	dormitory
dorsal	dorsal
Dosierung	dosage
Dosis	dose
Punkt	punt
dote	dote
vernarrt	doting
gepunktet	scored
Punktierung	dotting
doppelt	double
verdoppelt	doubled
Doppelheader	doubleheader
Doppelzüngigkeit	doublespeak
Verdoppelung	doubling
zweifeln	doubt
zweifelhaft	dubious
Zweifelhaftigkeit	doubtfulness
zweifelnd	dubiously
zweifellos	unquestionably
Zweifellos	doubtlessness
Dusche	shower
Teigjunge	doughboy
teigig	doughy
begießen	douse
Wo	where
zu groß	dovelike
Dübel	dowel
runter	down
Abwind	downdraft
Wermutstropfen	downer
downfallen	downfallen
Herabstufung	downgrade
bergab	downhill
herunterladen	download
herunterladbar	downloadable
herunterspielen	downplay
Platzregen	downpour
nach unten	downwardly
Geradlinigkeit	straightforwardness
flussabwärts	downstream
herunterschalten	downshift
verkleinern	downsize
hinter der Bühne	upstage
Abschwung	downturn
Ausfallzeit	downtime
unterdrückt	suppressed
Abwärtsbewegung	downwardness
gegen den Wind	upwind
Mitgift	dowry
dösen	snooze
gedöst	dozed
Dutzend	dozen
in die Vene	dozily
eintönig	monotonous
dürftig	tenuous
Eintönigkeit	drabness
drakonisch	draconian
Verfasser	drafter
Zugigkeit	draftiness
Zeichner	draftsman
Zeichnerin	draftswoman
zugig	drafty
ziehen	pull
gezogen	dragged
Schleppen	dragging
Drachen	kite
Libelle	dragonfly
drachenhaft	dragonish
Dragster	dragster
Abfluss	outflow
entleerbar	drainable
Drainage	drainage
entwässert	drained
Abflussrohr	drainpipe
Erpel	drake
Theater	theater
dramatisch	dramatically
Dramatik	dramatics
Dramatiker	dramatist
Dramatisierung	dramatization
dramatisieren	dramatize
getrunken	drank
drapieren	drape
Vorhänge	drapery
drastisch	drastically
Zugbrücke	drawbridge
Schublade	drawer
Schubladen	drawers
Zeichnung	drawing
gedehnt	drawl
gezeichnet	drawn
Kordelzug	drawstring
Furcht	dread
gefürchtet	feared
Scheußlichkeit	hideousness
Dreadlocks	dreadlock
Traum	tush
Traumschiff	dreamboat
Träumer	dreamer
traumhaft	dreamlike
verträumt	dreamy
Verträumtheit	dreaminess
träumend	dreamingly
traumlos	dreamlessly
Traumlosigkeit	dreamlessness
geträumt	dreamt
Traumzeit	dreamtime
Traumwelt	dreamworld
trist	dreary
Baggerarbeiten	dredging
Bodensatz	dregs
Dreidel	dreidel
tränken	drench
durchnässt	waterlogged
durchnässen	drenching
Kleid	robe
angezogen	dressed
Schneider	tailor
Schneiderei	tailoring
zog	drew
dribbeln	dribbler
getrocknet	dried
Wäschetrockner	drier
Drift	drift
Herumtreiber	prowler
driften	drifting
bohren	drill
Bohrer	driller
Bohren	drilling
trinken	drink
Trinkbarkeit	drinkability
trinkbar	drinkable
Trinker	drinker
Trinken	drinking
tropfen	drip
Tropfer	dropper
tropft	dripping
tropfend	drippy
fahrbar	guidable
fahren	drive
Gefasel	drivel
Gefahren	drove
Treiber	driver
Antriebswelle	driveshaft
Auffahrt	driveway
Fahren	driving
Nieselregen	drizzly
Drolligkeit	drollness
sabbern	drool
sinken	droop
hängend	pendulous
schlaff	saggy
fallen	falling
Dropbox	dropbox
Dropkick	dropkick
ausfallen	fallout
fallenlassen	dropping
Kot	scat
dürre	droughty
ertrinken	drown
schläfrig	slumberous
Schläfrigkeit	sleepiness
schuften	drudge
Plackerei	drudgery
Arzneimittel	drug
Droge	druggie
drogensüchtig	druggy
drogenfrei	drugless
Arzneimittelhersteller	drugmaker
Drogen	drugs
Drogerie	drugstore
Trommel	drum
Trommelschlag	drumbeat
Trommelfell	eardrum
Schlagzeuger	percussionist
Trommeln	drumming
Schlagzeug	percussion
Trommelstock	drumstick
betrunken	inebriated
Trunkenheit	drunkenness
Trockenreinigung	dryclean
Trockner	dryer
Trocknen	drying
Trockenbau	drywall
Dual	dual
Dualismus	dualism
Dualist	dualist
dualistisch	dualistic
Dualität	duality
zweifach	dually
Dub	dub
synchronisiert	synchronized
Synchronisation	synchronization
Bedenklichkeit	dubiousness
Herzogin	duchess
Ente	duck
Entenschnabel	duckbill
ducken	ducking
Entlein	duckling
Ducktail	ducktail
Wasserlinse	duckweed
Entchen	ducky
geleitet	ducted
Rohrleitungen	ductwork
Blindgänger	dud
fällig	due
Duell	duel
Duellant	duelist
duellieren	dueling
Duett	duet
Duffel	duffel
gegraben	trenched
Einbaum	dugout
Herzog	duke
Dumpfheit	dullness
ordnungsgemäß	duly
sprachlos	speechlessly
Dummy	dummy
Kipper	tipper
Schluss machen	dumping
Knödel	dumpling
Müllcontainer	dumpster
Dunce	dunce
Düne	dune
Verlies	dungeon
Misthaufen	dunghill
eintauchen	dunk
Duo	duo
duplizierbar	duplicable
Vervielfältigung	duplication
Duplikator	duplicator
doppelzüngig	duplicitous
Duplizität	duplicity
Haltbarkeit	durableness
dauerhaft	permanent
Dauer	duration
während	whilst
dämmrig	duskily
Staub	dust
Mülltonne	dustbin
Staubtuch	duster
staubig	dusty
Staubigkeit	dustiness
Staubwischen	dusting
staubfrei	dustless
Schaufel	shovel
staubdicht	dustproof
pflichtbewusst	dutifully
Pflicht	duty
Zwerg	midget
zwergenhaft	dwarfishly
Kleinwuchs	dwarfism
dweeb	dweeb
verweilen	lingering
wohnte	dwelt
Bewohner	resident
schwinden	dwindle
Farbstoff	dye
Färberei	dyeing
Färber	dyer
sterben	dying
Deich	seawall
dynamisch	dynamically
Dynamik	dynamics
Dynamit	dynamite
Dynamo	dynamo
dynastisch	dynastically
Dynastie	dynasty
Ruhr	dysentery
Funktionsstörung	dysfunction
dysfunktional	dysfunctional
Dyslexie	dyslexia
Legastheniker	dyslexic
Dystopie	dystopia
jede	each
erpicht	keen
Eifer	zealousness
Adler	eagle
Ohr	ear
Ohrenschmerzen	earache
Ohrenklappe	earflap
Graf	earl
ohrlos	earless
Ohrläppchen	earlobe
früh	early
Ohrmarke	earmark
Ohrenschützer	earmuff
Verdiener	earner
Ernst	earnestness
ernsthaft	seriously
Verdienste	earnings
Kopfhörer	headphones
Hörmuschel	earpiece
Ohrstöpsel	earplugs
Ohrring	earring
Hörweite	earshot
Erde	earth
erdgebunden	earthbound
geerdet	earthed
irden	earthen
Erdigkeit	earthiness
Wie Erde	earthlike
Erdlichkeit	earthliness
Erdling	earthling
irdisch	earthly
Erdbewegungsmaschine	earthmover
Erdbeben	earthquake
erdwärts	earthwards
Erdarbeiten	earthwork
Regenwurm	earthworm
erdig	earthy
Ohrenschmalz	earwax
Ohrwurm	earwig
Leichtigkeit	lightness
einfach	straightforward
problemlos	issueless
Staffelei	easel
Einfacher	easier
am einfachsten	easiest
leicht	slightly
Lockerung	easing
Ost	east
Richtung Osten	eastbound
Ostküste	eastcoast
Ostern	easter
östlich	eastern
östlichste	easternmost
nach Osten	eastward
ostwärts	eastwardly
unbeschwerte	easygoing
essen	manger
essbar	edible
gegessen	eaten
Esser	eater
Restaurant	restaurant
isst	eats
Traufe	eaves
lauschen	eavesdropping
Lauscher	eavesdropper
Ebay	ebay
Ebenholz	ebony
E-Card	ecard
Exzenter	eccentric
exzentrisch	eccentrically
Exzentrizität	excentricity
Echo	echo
Echokardiogramm	echocardiogram
Echoer	echoer
Sonogramm	sonogram
echolos	echoless
Blitz	lightning
eklektisch	eclectically
Finsternis	eclipse
ökologisch	ecologically
Ökologe	ecologist
Ökologie	ecology
Ökonometrie	econometrics
wirtschaftlich	economically
Wirtschaft	economy
Ökonom	economist
Ökospezies	ecospecies
Ökosphäre	ecosphere
Ökosystem	ecosystem
Ökotourismus	ecotourism
Ekstase	ecstasy
ekstatisch	ecstatically
Ektoplasma	ectoplasm
Ekzem	eczema
Ödem	edema
kantig	edged
kantenlos	edgeless
Kanten	edgeways
Nervosität	skittishness
Genießbarkeit	edibility
Essbarkeit	edibleness
Esswaren	edibles
Edikt	edict
Erbauung	edification
bearbeiten	edit
Bearbeitung	edition
Editor	editor
Leitartikel	editorial
redigieren	redact
redaktionell	editorially
Redaktion	editorship
Bildungsfähigkeit	educability
erziehen	raising
gebildet	litterer
lehrreich	instructively
Pädagoge	educationalist
pädagogisch	educatory
Erzieher	nurturer
Aal	eel
Aalwurm	eelworm
Unheimlichkeit	eeriness
Wirkung	effect
wirksam	effectually
Wirksam	effective
effektiv	effectively
Wirksamkeit	effectiveness
Auswirkungen	impact
Weiblichkeit	womanliness
Aufbrausen	effervescence
Effizienz	efficiency
effizient	efficiently
Bildnis	effigy
Bemühung	effort
mühelos	effortlessly
überschwänglich	gushingly
Schneebesen	whiskbroom
Egghead	egghead
Ei	egg
Ohne Ei	eggless
Eierlikör	eggnog
Aubergine	eggplant
Frühlingsrolle	eggroll
Eierschale	eggshell
Ego	ego
egozentrisch	egocentric
Egozentrik	egocentricity
Egozentrismus	egocentrism
Egoismus	egotism
egoistisch	selfish
Egomanie	egomania
egomanisch	egomaniacal
Egoist	egotist
ungeheuerlich	monstrously
äh	eh
acht	eight
achtzehn	eighteen
achtzehnten	eighteenth
achte	eighth
achtzig	eighty
entweder	either
ejakulieren	ejaculate
Ejakulation	ejaculatory
Ejakulator	ejaculator
auswerfen	eject
Auswurf	ejection
Auswerfer	ejector
durchdacht	elaborate
aufwendig	ornate
Ausführlichkeit	verboseness
Ausarbeitung	elaboration
ausführlich	verbosely
elastisch	elastically
Elastizität	resiliency
elastifizieren	elasticize
du lebst	elate
hocherfreut	elatedly
Hochgefühl	exhilaration
Begeisterung	enthusiasm
Ellbogen	elbow
gebeugt	flexed
ältere	elder
Altenpflege	eldercare
Alten	elderly
älteste	eldest
Wählbarkeit	electability
wählbar	selectable
Wahl	election
Wahlhelfer	electioneer
Wahlfach	elective
Wahlweise	electively
Wahlpflicht	electiveness
wahltechnisch	electorally
elektrisch	electrically
Elektriker	electrician
Elektrizität	electricity
Elektrik	electrics
elektrifizierbar	electrifiable
elektrifizieren	electrify
Elektrokardiogramm	electrocardiogram
Elektrokardiograph	electrocardiograph
Elektrokardiographie	electrocardiography
elektrochemisch	electrochemically
Elektrochemiker	electrochemist
Elektrochemie	electrochemistry
Stromschlag	electrocution
Elektrode	electrode
Elektrolumineszenz	electroluminescent
Elektrolyse	electrolysis
Elektrolyt	electrolyte
elektrolytisch	electrolytic
Elektromagnet	electromagnet
elektromagnetisch	electromagnetically
Elektromagnetismus	electromagnetism
elektromechanisch	electromechanical
Elektrometer	electrometer
elektromotorisch	electromotive
Elektron	electron
elektronegativ	electronegative
elektronisch	electronically
Elektronik	electronics
Elektrophysiologie	electrophysiology
Elektroplatte	electroplate
Elektroskop	electroscope
elektroskopisch	electroscopic
Elektroschock	electroshock
elektrostatisch	electrostatic
Elektrostatik	electrostatics
elektrochirurgisch	electrosurgical
elektrotherapeutisch	electrotherapeutic
Elektrotherapie	electrotherapy
Eleganz	stylishness
Element	element
elementar	elementary
Elefant	elephant
erheben	uplift
erhebend	uplifting
Elevation	elevation
Aufzug	elevator
elf	elflike
elfte	eleventh
Elfisch	elfish
elfenhaft	elfishly
Elfenhaftigkeit	elfishness
entlocken	elicit
Berechtigung	justifiableness
berechtigt	eligibly
beseitigen	eliminate
Beseitigung	elimination
Eliminator	eliminator
eliminierend	eliminatory
Elite	elite
Elitismus	elitism
elitär	elitist
Elixier	elixir
Elch	moose
Ellipse	ellipsis
elliptisch	elliptically
verlängern	lengthen
verlängert	prolonged
Verlängerung	revalidation
durchbrennen	elope
Eloper	eloper
Beredsamkeit	eloquence
beredt	eloquent
eloquent	eloquently
anderswo	elsewhere
entziehen	elude
Ausreißer	eluder
schwer fassbar	elusive
ausweichend	evasively
Flüchtigkeit	sketchiness
Elfen	elves
abmagern	emaciate
Abmagerung	emaciation
Email	email
ausgehen	emanate
emanzipieren	emancipate
Emanzipation	emancipation
Emanzipationist	emancipationist
Befreier	liberator
entmannen	emasculate
entmannt	emasculated
Entmannung	emasculation
Entmanner	emasculator
einbalsamieren	embalm
Einbalsamierer	embalmer
Einbalsamierung	embalmment
Embargo	embargo
einschiffen	embark
in Verlegenheit bringen	embarrass
peinlich	embarrassingly
Verlegenheit	embarrassment
Botschaft	embassy
umkämpft	embattled
Gefecht	embattlement
einbetten	imbed
menschlich	humanly
unterschlagen	embezzle
Unterschlagung	embezzlement
Unterschlager	embezzler
verbittern	embitter
Emblem	emblem
symbolisch	symbolically
Verkörperung	embodiment
verkörpern	incarnate
Embolie	embolism
prägen	emboss
Prägegerät	embosser
umarmen	embrace
umarmbar	huggable
sticken	embroider
Stickerin	embroiderer
Stickerei	stitchery
verwickeln	entangling
Embryo	embryo
embryologisch	embryological
Embryologie	embryology
embryonal	embryonic
Moderator	presenter
Smaragd	emerald
auftauchen	emerge
Entstehung	origination
Notfall	emergency
auftauchend	emergent
dringend	urgently
Emigrant	emigrant
Auswanderung	emigration
Eminenz	eminence
bedeutend	eminent
hervorragend	superbly
Emissär	emissary
Emission	emission
emittieren	emit
Emitter	emitter
Emote	emote
Emoticon	emoticon
Emotion	emotion
emotional	emotively
Pathos	pathos
Emotionalist	emotionalist
Emotionalität	emotionality
emotionalisieren	emotionalize
emotionslos	unemotional
einfühlsam	perceptive
empathisch	empathically
mitfühlen	empathize
Empathie	empathy
Kaiser	emperor
Schwerpunkte	emphases
Schwerpunkt	focal
nachdrücklich	emphatic
mit Nachdruck	forcefully
Emphysem	emphysema
Reich	realm
empirisch	empirically
beschäftigen	preoccupy
Beschäftigungsfähigkeit	employability
beschäftigungsfähig	employable
Arbeitgeber	employer
Anstellung	employment
Emporium	emporium
ermächtigen	empower
Ermächtigung	empowerment
leerer	emptier
Emu	emu
emulieren, nacheifern	emulate
Emulation	emulation
Emulator	emulator
Emulgator	emulsifier
emulgieren	emulsify
Ermöglichung	enablement
Möglichmacher	enabler
erlassen	enact
Erlass	enactment
Emaille	enamel
Emaillieren	enameling
Im Käfig	encage
einkapseln	encapsulate
Verkapselung	encapsulation
umhüllen	envelop
Umhüllung	envelopment
verzaubert	entranced
zauberhaft	wizardly
Zauberin	sorceress
Enchilada	enchilada
beifügen	enclose
Gehege	enclosure
Encoder	encoder
Umfassung	encompassment
Wieder	encore
begegnen	encounter
ermutigen	hearten
Ermutigung	encouragement
ermutigend	heartening
aufmunternd	encouragingly
eingreifen	intervene
Eingriff	encroachment
verkrusten	encrust
Verschlüsseln	encrypt
Verschlüsselung	encryption
belasten	incriminate
Enzyklopädie	encyclopedia
enzyklopädisch	encyclopedic
Ende	ending
bedrohen	endanger
Gefährdung	endangerment
beliebt	popular
Zärtlichkeit	tenderness
bemühen	endeavor
beendet	ended
endlos	unending
Unendlichkeit	infinity
Endnote	endnote
endokrin	endocrine
Endokrinologe	endocrinologist
Endokrinologie	endocrinology
Endorphin	endorphin
befürwortbar	endorsable
befürworten	endorsee
gebilligt	endorsed
endoskopisch	endoscopic
Endoskopie	endoscopy
Endoskelett	endoskeleton
schenken	endow
Ausstattung	endowment
Erträglichkeit	endurableness
aushalten	holdout
Ausdauer	stamina
endwärts	endways
Feind	foe
energisch	energetically
energetisieren	energize
Energiespender	energizer
Energie	energy
erzwingen	enforce
Durchsetzbarkeit	enforceability
durchsetzbar	opposable
durchgesetzt	enforced
Durchsetzung	enforcement
einrahmen	enframe
engagieren	engager
einnehmend	engagingly
Motor	motor
Ingenieur	engineer
Maschinenbau	engineering
motorlos	engineless
anschwellen	swollen
Schwellung	swollenness
einarbeiten	engrain
verwurzelt	rooted
gravieren	engrave
graviert	incise
Graveur	engraver
Gravur	engraving
vertieft	engrossed
Verschlingung	engulfment
rätselhaft	puzzlingly
genießen	relish
Vergnügen	pleasure
Genießer	enjoyer
vergrößern	magnify
vergrößerbar	enlargeable
vergrößert	enlarged
Vergrößerungsgerät	enlarger
erleuchten	illuminate
erleuchtet	enlightened
Aufklärer	enlightener
aufschlussreich	revelatory
Aufklärung	reconnaissance
gewinnen	winning
eingetragen	enlisted
Einberufung	enlistment
verstricken	enmesh
Ungeheuerlichkeit	tremendousness
enorm	tremendously
genug	enough
Anfragen	inquire
Nachfrager	enquirer
erzürnen	enrage
entzücken	enrapture
entzückt	rapturous
bereichern	enrich
bereichernd	enriching
Anreicherung	enrichment
einschreiben	inscribe
eingeschrieben	enrollee
Einschreibung	enrollment
Ensemble	ensemble
verankern	enshrine
einhüllen	enshroud
Versklavung	enslavement
Sklavenhalter	slaveholder
verführen	seducing
Verstrickung	entanglement
erfolgen	ensue
anschließend	ulterior
Salzfaden	ensure
mit sich bringen	entail
verstrickt	entangled
eingeben	enter
eintreten	entering
Unternehmer	entrepreneur
unternehmungslustig	enterprisingly
unterhalten	entertain
Entertainer	entertainer
unterhaltsam	entertainingly
Unterhaltung	entertainment
Enthusiast	enthusiast
enthusiastisch	enthusiastic
Verführung	seductiveness
gesamte	entire
Ganzheit	wholeness
Gesamtheit	totality
berechtigen	entitle
Anspruch	pretension
juristische Person	entity
beisetzen	entomb
Grablegung	entombment
Entomologe	entomologist
Entomologie	entomology
Gefolge	entourage
Eingang	input
Hauptgericht	entree
verschanzt	entrenched
Schanze	entrenchment
unternehmerisch	entrepreneurial
Unternehmerschaft	entrepreneurship
Betrauung	entrustment
Eintrag	entry
Verflechtung	interweaving
aufzählen	enumerate
Aufzählung	enumeration
aufzählend	enumerative
aussprechen	pronounce
Aussprache	pronunciation
Umschlag	envelope
beneidenswert	enviably
beneidet	envied
neidisch	envying
Umfeld	surroundings
Umwelt	environmental
Umweltschutz	environmentalism
Umweltschützer	environmentalist
Umweltfreundlich	environmentally
vorstellen	imagine
Gesandte	envoy
Neid	envy
Enzym	enzyme
Ephedrin	ephedrine
Epos	epic
Epizentrum	epicenter
Epidemie	epidemic
epidemisch	epidemically
Epidemiologe	epidemiologist
Epidemiologie	epidemiology
epidermal	epidermal
Epidermis	epidermis
Epilepsie	epilepsy
epileptisch	epileptic
Epilog	epilogue
Offenbarung	revelation
bischöflich	episcopalian
episodisch	episodically
Epitaph	epitaph
Inbegriff	epitome
gleich	unalike
Gleichheit	sameness
Gleichwertigkeit	equivalency
Ausgleich	equalizer
ausgleichen	equalize
gleichermaßen	equally
Gleichung	equation
Äquator	equator
Äquatorial	equatorial
äquidistant	equidistantly
gleichseitig	equilaterally
ausrüsten	equip
Ausrüstung	equipment
Ausrüster	outfitter
gerecht	fair
Eigenkapital	equity
Äquivalent	equivalent
gleichwertig	equivalently
zweideutig	equivocate
Äquivokator	equivocator
Epoche	era
ausrotten	eradicate
Ausrottung	eradication
Ausrotter	eradicator
löschbar	quenchable
gelöscht	erased
Radiergummi	eraser
Elasure	erasure
aufrecht	upstanding
aufrichtbar	erectable
aufstellen	setup
Erektion	erection
Geradheit	straightness
ergonomisch	ergonomic
Ergonomie	ergonomics
erodieren	erode
erodiert	eroded
erogen	erogenous
Erosion	erosion
erosiv	erosive
erotisch	erotically
Erotik	eroticism
erotisieren	eroticize
Auftrag	errand
irrtümlicherweise	errantly
unberechenbar	uncalculating
irrend	erring
fehlerhaft	flawed
fälschlicherweise	mistakenly
Irrtum	fallacy
fehlerfrei	errorless
eskalieren	escalate
eskaliert	escalating
Eskalation	escalation
Rolltreppe	escalator
entkommen	escapable
Eskapade	escapade
Flucht	getaway
Ausbrecher	escapee
Flüchtling	refugee
Eskapismus	escapism
Eskapist	escapist
Schnecke	snail
Treuhand	escrow
Eskimo	eskimo
Speiseröhre	esophagus
esoterisch	esoterically
Esoterik	esotericism
besonders	special
Spionage	espionage
Espresso	espresso
Esquire	esquire
Aufsatz	essay
Essayist	essayist
Wesen	essence
essentiell	essential
Essentialismus	essentialism
Essentialist	essentialist
Wesentlichkeit	essentialness
im Wesentlichen	substantially
gründen	establish
gegründet	established
Gründer	incorporator
Einrichtung	furnishings
Anwesen	estate
geschätzt	valued
Einschätzung	estimation
entfremdet	estranged
Mündung	estuary
und so weiter	etcetera
Radierung	etching
ewig	perpetual
verewigen	perpetuate
Ewigkeit	eternity
Ethanol	ethanol
Äther	ether
Ethik	ethics
ethisch	ethically
Ethiker	ethicist
ethnisch	ethnically
ethnische Zugehörigkeit	ethnicity
Ethnozentrismus	ethnocentrism
Ethnologe	ethnologist
Ethnologie	ethnology
ethologisch	ethological
Ethos	ethos
Ethyl	ethyl
Etikette	etiquette
Etymologe	etymologist
Eukalyptus	eucalyptus
eugenisch	eugenic
loben	laud
Lobrede	eulogy
Euphemismus	euphemism
wohlklingend	euphonically
Euphorie	euphoria
euphorisch	euphoric
Heureka	eureka
einschläfern	euthanize
evakuieren	evacuate
Evakuierung	evacuation
Evakuator	evacuator
Evakuierte	evacuee
Ausweichender	evader
auswerten	evaluate
Auswertung	evaluation
bewertend	evaluative
Evangelikalismus	evangelicalism
evangelisch	protestant
Evangelisation	evangelism
Evangelist	evangelist
evangelistisch	evangelistically
Evangelisierung	evangelization
evangelisieren	evangelize
Evangelisierer	evangelizer
verdampfen	evaporate
Verdunstung	evaporation
Verdampfer	vaporizer
Ausweichen	sidestep
Vorabend	eve
unparteiisch	nonpartisan
Gleichmäßigkeit	unwedded
Abend	evening
gleichmäßig	uniformly
Ebenheit	levelness
Ereignis	happening
ereignisreich	eventfully
Ereignishaftigkeit	eventfulness
ereignislos	uneventfully
schließlich	eventual
letztlich	eventually
immerblühend	everblooming
immergrün	evergreen
immer	evermore
jeden	every
Alltäglichkeit	ordinariness
jeder Platz	everyplace
alles	everything
jeder Weg	everyway
vertreiben	expel
Räumer	evictor
Beweis	evidence
beweiskräftig	evidential
Übeltäter	wrongdoer
Übeltun	evildoing
Bösartigkeit	viciousness
anregend	stimulatory
hervorrufen	evoke
Evolution	evolution
evolutionär	evolutionary
Evolutionismus	evolutionism
Evolutionist	evolutionist
evolve	evolve
ex	ex
verschärfen	toughen
exakt	exactable
übertreiben	overstate
übertrieben	overreaching
Übertreibung	overstatement
erhöhen	heighten
erhaben	sublimely
Erhabenheit	illustriousness
prüfbar	examinable
prüfen	scrutinize
Prüfling	examinee
Prüfer	tester
untersuchen	investigating
Beispiel	instance
verärgern	upset
ausgraben	unearth
Ausgrabung	excavation
überschreiten	transgress
übersteigend	exceeding
überaus	exceedingly
Exzellenz	excellence
exzellent	excellent
außer	except
ausgenommen von	excepting
Ausnahme	exception
ausnahmsweise	exceptionable
außergewöhnlich	extraordinary
Außergewöhnlichkeit	extraordinariness
Auszug	excerpt
Überschuss	surplus
übermäßig	unduly
Übermaß	overstuff
Austausch	interchange
Austauschbarkeit	interchangeableness
austauschbar	interchangeably
Austauscher	exchanger
Verbrauchsteuer	excise
Erregbarkeit	excitableness
erregbar	excitable
Erregung	infuriation
spannend	thrillingly
ausrufen	exclaim
Ausrufer	exclaimer
ausrufend	exclaiming
Ausruf	exclamation
Ausrufe-	exclamatory
ausschließbar	excludable
ausschließen	preclude
Ausschluss	exclusion
ausschließlich	exclusively
ausschließend	exclusionist
exklusiv	exclusive
Ausschließlichkeit	exclusiveness
Exklusivität	exclusivity
exkommunizierbar	excommunicable
exkommunizieren	excommunicate
Exkommunikation	excommunication
ausscheiden	excrete
scheidet aus	excretes
Ausscheidung	excretory
Ausflug	outing
entschuldbar	excusably
ausführbar	performable
hingerichtet	executed
Ausführung	version
Henker	headsman
Exekutive	executive
exekutiv	executively
Testamentsvollstrecker	executor
vorbildlich	exemplarily
exemplarisch	exemplary
veranschaulichen	illustrate
befreit	freed
ausübbar	exercisable
Übung	exercise
Trainierender	exerciser
ausüben	wield
Anstrengung	exertion
Exen	exes
Peeling	peeling
ausatembar	exhalable
Ausatmung	exhalation
ausatmen	exhale
Auspuff	exhaust
erschöpft	exhaustedly
Erschöpfbarkeit	exhaustibility
erschöpfbar	exhaustible
anstrengend	strenuously
erschöpfend	exhaustless
Erschöpfung	exhaustlessness
Ausstellungsstück	exhibit
Aussteller	issuer
Exhibitionismus	exhibitionism
Exhibitionist	exhibitionist
exhibitionistisch	exhibitionistic
ausstellend	exhibitive
Ausstellung	exhibitory
berauschend	intoxicative
beschwingt	exhilarated
Erheiterer	exhilarator
Exhumierung	exhumation
Exhumierungen	exhume
Exil	exile
existieren	exist
Existenz	existence
existent	existent
existenziell	existentially
Existentialismus	existentialism
Existentialist	existentialist
existentialistisch	existentialistic
Exobiologie	exobiology
Exodus	exodus
entlasten	unburden
Entlastung	exoneration
Entlaster	exonerator
exorbitant	exorbitantly
exorzieren	exorciser
Exorzismus	exorcism
Exorzist	exorcist
bannen	exorcize
Exoskelett	exoskeleton
exotherm	exothermal
exotisch	exotically
Exotik	exoticness
expandieren	expanding
erweiterbar	expansible
Expander	expander
